black coffee,Black Coffee,UCC,513fc997927da7040800408b,Coffee,Black Angus Steakhouse,1,serving,0
dole frozen blueberries,Blueberries,Dole,513fceb475b8dbbc21000fdf,Blueberries raw - 50 berries,USDA,50,berries,38.76
powdered blueberries,Blueberries,Sunsweet,513fceb475b8dbbc21000fdf,Blueberries raw - 50 berries,USDA,50,berries,38.76
blue berries,Blueberries raw - 50 berries,USDA,513fceb475b8dbbc21000fdf,Blueberries raw - 50 berries,USDA,50,berries,38.76
frozen strawberries mango and banana,Blueberries Strawberries and Mango Chunks Fresh Frozen,Wymans,51c3c89b97c3e6d8d3b4cba1,Blueberries Strawberries and Mango Chunks Fresh Frozen,Wymans,1,cup,70
bluberry donut,Blueberry Donut,LaMar's Donuts,513fc9c4673c4fbc260008ec,Blueberry Donut,LaMar's Donuts,-1,NULL,350
boil egg,Boiled Egg,Flavors NYC,52cdcc7d051cb9eb32003833,Boiled Egg,Flavors NYC,1,Serving,90
taco bells hot sauce,Border sauce hot,taco bell,51cb356c97c3e632bfc46ab4,Border Sauce - Hot,Taco Bell,7,g,0
daves killer bread,Bread,Dave's Killer Bread,513fceb675b8dbbc210026a5,White Bread - 1 slice large,USDA,1,slice large,79.8
enriched white bread,Bread Enriched white,Monks',54c0ba5736fbe41626c0e057,White Enriched Bread,Grissom's,2,slices,130
mrs bairds extra thin bread,Bread Extra Thin Enriched,Mrs Baird's,54dfa247eae0f8ce1fe8c4b3,Enriched Bread Extra Thin,Hill Country Fare,1,slice,80
honey wheat bread,Bread Honey Wheat,Bread Stop,51c54b7197c3e6efadd60e67,Bread Honey Whole Wheat,Wheat Montana,40,G,90
italian bread,Bread Italian,Rotella's Italian,51c3b78d97c3e6d8d3b44b66,Bread Italian,Rotella's Italian,2,slices,120
texas toast garlic bread,Bread Texas Toast Garlic,Pepperidge Farm,51c53e7597c3e6efadd5a7cb,Bread Texas Toast Garlic,Pepperidge Farm,1.4,Oz,140
wheat toast,Bread wheat toasted - 1 oz,USDA,513fceb675b8dbbc2100269c,Bread wheat toasted - 1 oz,USDA,1,oz,88.74
frozen breadstick,Breadstick,Applebee's,513fceb675b8dbbc210026c7,"Bread sticks plain - 1 stick small (approx 4-1/4"" long)",USDA,1,"stick small (approx 4-1/4"" long)",20.6
breakfast,Breakfast,Villa Fresh Italian Kitchen,ae49759965457401191466b0,Breakfast,Villa Fresh Italian Kitchen,335,g,778
breakfast burrito,breakfast burrito,Amy's,546cd9ae699f716d57d5889f,Breakfast Burrito - 1 burrito,Nutritionix,1,burrito,489.19
brioche bread,Brioche,The Bread Guy Bakery,54c68d4287b423e651caac93,Brioche - 1 piece,Nutritionix,1,piece,264.57
green giant frozen broccoli,Broccoli,green giant,513fceb575b8dbbc2100149c,Broccoli raw - 1 bunch,USDA,1,bunch,206.72
summer broccoli,Broccoli ,Salad Works,53444dfc7ba4ca15456f5888,Broccoli,Saladworks,1,salad,10
broccoli chicken,Broccoli & Chicken,Sbarro,51c549ef97c3e6efadd6020e,Seasoning Mix Honey BBQ Chicken Glaze,Chicken,1,Tbs,25
baked chicken broccoli,Broccoli & Chicken ,Sbarro,51c549ef97c3e6efadd6020e,Seasoning Mix Honey BBQ Chicken Glaze,Chicken,1,Tbs,25
broccoli pasta roni,Broccoli Au Gratin,pastaroni,54a16c1d8de21936199f68c6,Broccoli Au Gratin,GFS,0.5,cup,120
brown gravy,Brown Gravy,Golden Corral,51c36e0997c3e69de4b08f60,Brown Gravy Mix Vegetarian Fat Free,Gravy Quick,1,tbsp,20
brown rice,Brown Rice - 1 cup,USDA,513fceb775b8dbbc21002dc4,Brown Rice - 1 cup,USDA,1,cup,218.4
buffalo chicken,Buffalo Chicken,Burrito Beach,516d9a3fe3afed032c7da287,Buffalo,Lee's Famous Recipe Chicken,43,gms,17
baked chicken fries,Buffalo Chicken Baked Cheese Fries,ledo pizza,529e803df9655f6d3500d695,Buffalo Chicken Baked Cheese Fries,Ledo Pizza,269,g,530
bun,Bun - 1 oz,USDA,513fceb775b8dbbc21002923,Bun - 1 oz,USDA,1,oz,78.81
roll,Bun - 1 roll,USDA,513fceb775b8dbbc21002925,Bun - 1 roll,USDA,1,roll,116.76
steak beans rice,Burrito Steak Beans & Rice,Don Miguel,51c36bfc97c3e69de4b07e73,Burrito Steak Beans & Rice,Don Miguel,1,burrito,370
two been and cheese burritos,Burritos Been & Cheese 2 Pack,El Monterey,51c3f8a897c3e6dfa4defd83,Burritos Been & Cheese 2 Pack,El Monterey,1,burrito,240
green chile burritos,Burritos Green Chile,DOn Miguel,53f4dbbd39160d476cae4d83,Egg & Green Chile Burritos,Evol.,1,burrito,350
canned butter,Butter,Giant,513fceb375b8dbbc21000175,Butter without salt - 1 tbsp,USDA,1,tbsp,101.81
land o lakes butter,Butter Salted,and o lakes,51c35fab97c3e69de4b01ec6,Butter Salted,Borden,1,tbsp,100
buttermilk bread,buttermilk bread,Bohemian Hearth,51c3b6ed97c3e6d8d3b4467e,Buttermilk Bread,Bohemian Hearth,1,pc,100
smart balance buttery spread,Buttery Spread Original,Smart Balance,51d2f686cc9bff111580bbae,Buttery Spread Original,Canola Harvest,1,tbsp,90
betty crocker devils food cake,Cake Mix Devil's Food,Betty Crocker,51c390a097c3e6d3ebc5c989,Cake Mix Deluxe Devils Food,Hy-Vee,0.33,cup dry mix,170
chocolate chip cake,Cake Chocolate Chip,Entenmann's,51c4023c97c3e6dfa4df4413,Poundcake Chocolate Chip Fantasy,Comfort Cake,3.5,oz,340
sponge cake,Cake sponge commercially prepared - 1 oz,USDA,513fceb775b8dbbc21002711,Cake sponge commercially prepared - 1 oz,USDA,1,oz,82.22
cambells tomato soup,CAMPBELL'S Tomato Soup condensed - 0.5 cup condensed,campbells,51c3d84097c3e6d8d3b54c97,Condensed Soup Tomato,Campbells,0.5,cup,90
snicker bar,Candy Bar,Snickers,51c36ce997c3e69de4b08682,Candy Bar,Crunch,2,bars,190
dunkin dounuts caramel cream,Caramel Coffee Creamer,Dunkin Donuts,51d2fb31cc9bff111580dac0,Coffee Creamer Caramel,Baileys,1,tbsp,35
